"Path","SizeGB"
"C:\Program Files\Rockstar Games","92,11"
"C:\Users\drami\AppData\Local\NVIDIA","15,53"
"C:\Users\drami\AppData\Local\Packages","9,93"
"C:\Users\drami\AppData\Local\Microsoft","3,52"
"C:\Users\drami\AppData\Local\Google","2,45"
"C:\Program Files (x86)\Epic Games","2,25"
"C:\Program Files (x86)\Microsoft","2,22"
"C:\Users\drami\AppData\Local\Programs","1,88"
"C:\Users\drami\AppData\Local\Spotify","1,66"
"C:\Program Files\NVIDIA Corporation","0,84"
"C:\Users\drami\AppData\Roaming\Notion","0,69"
